model_id,parameter,coef,std_err,t_value,p_value
M035,SPF,0.6040673307136502,0.14932694525659115,4.045266778046457,5.226357336893247e-05
M035,alpha[1],0.20293052258800923,1.4875950957769681,0.13641515971926418,0.8914930899831212
M035,alpha[2],0.31956763950248096,0.346533524190478,0.9221839077445945,0.3564326555107197
M035,beta[1],0.0,4.797602062202359,0.0,1.0
M035,beta[2],0.4444081860783878,3.1114020392678277,0.14283213177521908,0.8864227597616767
M035,gamma[1],0.05173136755597475,1.3898684970132673,0.03722033247544062,0.9703093268727119
M035,gamma[2],-0.30291311406124244,0.5142071716750142,-0.5890876882843002,0.5558024519211805
M035,omega,0.01027484554341027,0.02925546520968559,0.35121114874661374,0.7254299467435613
M036,Const,0.020705270097013638,0.002848019690264786,7.270058619253657,3.593315345823296e-13
M036,Inflation_lag_1,0.4316719497946009,0.007806903873586588,55.2936166224736,0.0
M036,Inflation_lag_2,-0.040377812575410815,0.0018357072022184794,-21.9957804417903,3.1604929226111664e-107
M036,SPF,0.6407320390217816,0.011705537208152528,54.73751675194645,0.0
M036,alpha[1],0.40929059837399256,0.0888872643320375,4.604603386657188,4.132526786573451e-06
M036,alpha[2],-0.1210202884773454,0.2652816321935389,-0.4561955061745618,0.6482493966259686
M036,beta[1],0.8913941129704991,0.5769824630322103,1.5449241009613432,0.1223646230808768
M036,beta[2],1.2582025800579055e-15,0.49830853989306806,2.524946853866689e-15,0.999999999999998
M036,gamma[1],-0.10535106595319652,0.06771451240232805,-1.55581222127466,0.11975275115136945
M036,gamma[2],0.18290969707923113,0.0773541126417495,2.3645762433646125,0.018050711459928235
M036,omega,-0.31893934912162886,0.2568417404691794,-1.2417738197031922,0.2143200247260697
M037,Const,0.023093055811023472,0.019053146211627594,1.2120337268461434,0.22549947052916763
M037,Inflation_lag_1,0.4536618634258198,0.04659888243179569,9.735466598149014,2.128386476703062e-22
M037,Inflation_lag_2,-0.02568121113279879,0.04887973637017884,-0.5253958601230654,0.5993080308308024
M037,SPF,0.3317328944325395,0.4125156083878895,0.8041705275806442,0.4212984974070826
M037,SPF_lag_1,0.2370756863896289,0.39976024515827946,0.5930446793071235,0.5531512515709912
M037,alpha[1],0.2679873138325077,0.07937652119223876,3.3761534243038964,0.0007350691649235851
M037,beta[1],0.6294562098086796,0.08145974899377552,7.727205369326358,1.0993321817001687e-14
