model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,phase,attempt,start_type,loglikelihood,optimizer_success,convergence_flag,stable_by_proxy,persistence_proxy,implied_initial_variance,implied_initial_variance_status,error_message
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,39,random_39,-189.8927082360858,True,0,True,0.8670023855792038,0.43086722215325673,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,40,random_40,-189.89270814125518,True,0,True,0.8669541786299355,0.4307237791764158,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,41,random_41,-189.89270783684742,True,0,True,0.8669827570869849,0.43074179045244954,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,42,random_42,-189.89270784139157,True,0,True,0.8669735907429832,0.4307345786800886,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,43,random_43,-189.89270785081203,True,0,True,0.8669921612801039,0.4307557652077518,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,44,random_44,-189.89270794590635,True,0,True,0.8670102069589352,0.43079896264644696,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,45,random_45,-189.8927078902814,True,0,True,0.866970198293604,0.43069138837054427,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,46,random_46,-189.8927078330198,True,0,True,0.8669743619055943,0.4307183995499747,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,47,random_47,-189.8927078677333,True,0,True,0.8669951291621363,0.4307649077948922,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,48,random_48,-189.89270810781073,True,0,True,0.8669430267791578,0.430643387113445,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,49,random_49,-189.89270814533955,True,0,True,0.8669840024907004,0.4307229100245535,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,50,random_50,-189.89270788145973,True,0,True,0.866982983037355,0.4307810886877922,exact_under_symmetry,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,1,default,-188.96959356530584,True,0,True,0.8193044485891929,0.28981056851549103,proxy_from_log_variance,
