model_id,parameter,coef,std_err,t_value,p_value
M024,SPF,0.8321742278690945,8.102282905617668e-14,10270861158058.447,0.0
M024,alpha[1],-0.19671992891365087,0.005171287039593714,-38.040806361641515,0.0
M024,alpha[2],-0.31276612868278447,0.004078232158417522,-76.69159491992903,0.0
M024,beta[1],0.00045704378822017367,0.002708057803812999,0.168771799322986,0.8659761409715372
M024,beta[2],0.8717338105157788,3.739780377449837e-08,23309759.46534635,0.0
M024,gamma[1],0.31877652964025793,0.006331270862729573,50.3495327481259,0.0
M024,gamma[2],0.03654084750123027,0.004989831562950532,7.3230623198878755,2.423751696953771e-13
M024,omega,-0.17463052174176552,7.701935615452754e-09,-22673588.882176075,0.0
M025,Const,0.11838137956689473,0.07278862818908971,1.6263719005579353,0.10387056470090149
M025,Inflation_lag_1,0.4520136017470883,0.18458132511780367,2.4488587968398416,0.014330961718696087
M025,Inflation_lag_2,0.15276758103558383,0.10056681148474894,1.5190655722315625,0.12874599151650262
M025,SPF,0.3139909677692562,0.17541334223207228,1.7900061863814523,0.07345291687892745
M025,alpha[1],0.723032231110521,0.3930385843435812,1.839596059806867,0.06582756328509776
M025,beta[1],0.27696776888947944,0.15331836284607692,1.806487910176419,0.07084216090637145
M025,omega,0.08869924410693283,0.04453682463400655,1.9915933575382385,0.04641569278105646
M026,Const,0.08280929455030649,0.10907610070367965,0.7591882549530206,0.44773995091416585
M026,Inflation_lag_1,0.20775217218859546,0.09269432838190882,2.241260882031942,0.025009181251027468
M026,Inflation_lag_2,0.009588335603634122,0.10135341418477124,0.09460298580720933,0.9246301781440797
M026,SPF,0.7865806240577929,0.21776293073888078,3.612096059641026,0.00030373200611688936
M026,alpha[1],0.6023199457995974,0.5989201302645826,1.005676575829089,0.31457117463560336
M026,beta[1],0.6089469537147689,0.3734111690368359,1.6307679153932808,0.10293929986995053
M026,gamma[1],-0.5975311462841545,0.5361660000148251,-1.1144517673027248,0.26508542550150604
M026,omega,0.05706875817210605,0.054654528105365134,1.0441725534998063,0.29640556294244746
M027,Const,0.019627223683942503,0.0013876050301665928,14.144676083788843,2.014420444236671e-45
M027,Inflation_lag_1,0.2427095638195905,0.0008178837374195421,296.7531358250862,0.0
M027,Inflation_lag_2,0.05800531040326382,0.0012279222551823741,47.2385854710718,0.0
M027,SPF,0.7810238470288539,0.002429731397034321,321.44452180276187,0.0
M027,alpha[1],0.22349189286095075,0.21995480130870276,1.0160809926912382,0.30959081949408285
M027,beta[1],0.9323417813721157,0.06406422953870464,14.553234903244064,5.570527220207886e-48
M027,gamma[1],0.19916397331445623,0.0615654462900877,3.2349960134459788,0.0012164442919466477
M027,omega,-0.05862432294617284,0.07258053925938653,-0.8077140724549138,0.4192552006281385
M028,Const,0.11838276006279272,0.0761324558303842,1.5549578530152521,0.1199561074693947
M028,Inflation_lag_1,0.4520191522956055,0.23374278882418345,1.9338314331297086,0.05313385669282306
M028,Inflation_lag_2,0.1527646017383209,0.10491362818571512,1.4560987393163198,0.14536532601737084
M028,SPF,0.3139870650395977,0.2542449284391954,1.234978675748453,0.21683844049626266
M028,alpha[1],0.723037120350105,0.43018460057732166,1.6807601187484764,0.09280951797696207
M028,beta[1],0.2769629225928798,0.31626749930864756,0.8757236301495205,0.38118029596641456
M028,beta[2],0.0,0.15759616594298004,0.0,1.0
M028,omega,0.08870084030549606,0.04521862278186039,1.9615997756808887,0.049809098417893806
M029,Const,0.08280373204820046,0.16601419511020488,0.49877501133703067,0.6179378935120379
M029,Inflation_lag_1,0.20775170761223088,0.11250598586453266,1.8465835930043994,0.0648075138834483
M029,Inflation_lag_2,0.009594925042080326,0.1009179613894628,0.09507648499806266,0.9242540757036802
M029,SPF,0.7865765596900409,0.2232245269380518,3.5237013175901044,0.000425563672038532
M029,alpha[1],0.6023064226609448,0.30150816716520934,1.9976454645452941,0.045755110525423755
M029,beta[1],0.6089578456676041,0.2694386709069365,2.260098164891619,0.0238151590203465
M029,beta[2],1.9396529612449176e-14,0.5583606926194121,3.4738350798755404e-14,0.9999999999999722
M029,gamma[1],-0.5975182664714052,0.2869976634909732,-2.0819621289014383,0.037345929050207866
M029,omega,0.05706590671534644,0.08309417219901465,0.6867618414763286,0.49223281952828213
M030,Const,0.06778936232785064,0.0001268033932439678,534.6021158710236,0.0
M030,Inflation_lag_1,0.04674087689228992,3.1205685223653374e-06,14978.320955715191,0.0
M030,Inflation_lag_2,0.03284039857150714,4.208188211035754e-06,7803.928181107706,0.0
M030,SPF,0.971601243414197,5.339670908947796e-11,18195901207.80786,0.0
M030,alpha[1],-0.4290494886461286,4.7107461597358815e-07,-910788.809453032,0.0
M030,beta[1],0.04705467620247814,0.00013640829359019686,344.9546575506739,0.0
M030,beta[2],0.8717507201414683,6.628768375155611e-11,13151020986.172318,0.0
M030,gamma[1],0.294298810371576,4.096333719275156e-06,71844.44201573792,0.0
M030,omega,-0.12215937536653736,3.45159370894029e-13,-353921653785.96313,0.0
M031,Const,0.05893704481812684,0.13736122823022592,0.4290660878435413,0.6678751306241761
